2021-01-10 16:18:07.7368 || ERROR || ^ index : -1||  
2021-01-10 16:18:13.1934 || INFO || Receving string||  
2021-01-10 16:18:13.2069 || INFO || ||  
2021-01-10 16:18:13.2192 || ERROR || @ index : -1||  
2021-01-10 16:18:13.2341 || ERROR || ^ index : -1||  
2021-01-10 16:18:24.3434 || INFO || Receving string||  
2021-01-10 16:18:24.3633 || INFO || @,1.1,1.2,242:243:PASS,12.1:12.2:PASS,32:31:FAIL,456:455:PASS,333:333:PASS,ONGOING,ONGOING,ONGOING,ONGOING,ONGOING,^||  
2021-01-10 16:18:24.3773 || ERROR || @ index : 0||  
2021-01-10 16:18:24.3902 || ERROR || ^ index : 115||  
2021-01-10 16:18:24.4053 || INFO || @,1.1,1.2,242:243:PASS,12.1:12.2:PASS,32:31:FAIL,456:455:PASS,333:333:PASS,ONGOING,ONGOING,ONGOING,ONGOING,ONGOING,^||  
2021-01-10 16:18:24.4053 || INFO || Length||  
2021-01-10 16:18:24.4187 || INFO || 14||  
2021-01-10 16:18:24.4187 || INFO || ONGOING||  
2021-01-10 16:31:54.6086 || INFO ||  Current Barcode : ERCA10M42747C1SG8CR||  
2021-01-10 16:31:56.9712 || INFO || Barcode : #ERCA10M42747C1SG8CR@||  
2021-01-10 16:33:13.5554 || INFO || Receving string||  
2021-01-10 16:33:13.5723 || INFO || @,1.1,1.2,242:243:PASS,12.1:12.2:PASS,32:31:FAIL,456:455:PASS,333:333:PASS,ONGOING,ONGOING,ONGOING,ONGOING,ONGOING,^||  
2021-01-10 16:33:13.5723 || ERROR || @ index : 0||  
2021-01-10 16:33:13.5873 || ERROR || ^ index : 115||  
2021-01-10 16:33:13.5873 || INFO || @,1.1,1.2,242:243:PASS,12.1:12.2:PASS,32:31:FAIL,456:455:PASS,333:333:PASS,ONGOING,ONGOING,ONGOING,ONGOING,ONGOING,^||  
2021-01-10 16:33:13.5873 || INFO || Length||  
2021-01-10 16:33:13.6070 || INFO || 14||  
2021-01-10 16:33:13.6070 || INFO || ONGOING||  
2021-01-10 16:33:24.2278 || INFO ||  Current Barcode : ERCA10M42747C1SG8CR||  
2021-01-10 16:33:26.5364 || INFO || Receving string||  
2021-01-10 16:33:26.5583 || INFO || ||  
2021-01-10 16:33:26.5783 || ERROR || @ index : -1||  
2021-01-10 16:33:26.5962 || ERROR || ^ index : -1||  
2021-01-10 16:33:42.6174 || INFO || Receving string||  
2021-01-10 16:33:42.6174 || INFO || @,1.1,1.2,242:243:PASS,12.1:12.2:PASS,32:31:FAIL,456:455:PASS,333:333:PASS,ONGOING,ONGOING,ONGOING,ONGOING,ONGOING,^||  
2021-01-10 16:33:42.6463 || ERROR || @ index : 0||  
2021-01-10 16:33:42.6612 || ERROR || ^ index : 115||  
2021-01-10 16:33:42.6733 || INFO || @,1.1,1.2,242:243:PASS,12.1:12.2:PASS,32:31:FAIL,456:455:PASS,333:333:PASS,ONGOING,ONGOING,ONGOING,ONGOING,ONGOING,^||  
2021-01-10 16:33:42.6852 || INFO || Length||  
2021-01-10 16:33:42.6992 || INFO || 14||  
2021-01-10 16:33:42.6992 || INFO || ONGOING||  
2021-01-10 16:35:08.6354 || INFO ||  Current Barcode : ERCA10M42747C1SG8CR||  
2021-01-10 16:36:20.2482 || INFO || Receving string||  
2021-01-10 16:36:20.2672 || INFO || ||  
2021-01-10 16:36:20.2801 || ERROR || @ index : -1||  
2021-01-10 16:36:20.2931 || ERROR || ^ index : -1||  
2021-01-10 16:36:48.4606 || INFO || Receving string||  
2021-01-10 16:36:48.4893 || INFO || ||  
2021-01-10 16:36:48.5063 || ERROR || @ index : -1||  
2021-01-10 16:36:48.5212 || ERROR || ^ index : -1||  
2021-01-10 16:36:49.5333 || INFO || Receving string||  
2021-01-10 16:36:49.5593 || INFO || @,1.1,1.2,242:243:PASS,12.1:12.2:PASS,32:31:FAIL,456:455:PASS,333:333:PASS,ONGOING,ONGOING,ONGOING,ONGOING,ONGOING,^||  
2021-01-10 16:36:49.5819 || ERROR || @ index : 0||  
2021-01-10 16:36:49.5951 || ERROR || ^ index : 115||  
2021-01-10 16:36:49.6185 || INFO || @,1.1,1.2,242:243:PASS,12.1:12.2:PASS,32:31:FAIL,456:455:PASS,333:333:PASS,ONGOING,ONGOING,ONGOING,ONGOING,ONGOING,^||  
2021-01-10 16:36:49.6345 || INFO || Length||  
2021-01-10 16:36:49.6345 || INFO || 14||  
2021-01-10 16:36:49.6604 || INFO || ONGOING||  
2021-01-10 16:37:02.7576 || INFO ||  Current Barcode : ERCA10M42747C1SG8CR||  
2021-01-10 16:37:17.9025 || INFO || Receving string||  
2021-01-10 16:37:17.9184 || INFO || ||  
2021-01-10 16:37:17.9184 || ERROR || @ index : -1||  
2021-01-10 16:37:17.9394 || ERROR || ^ index : -1||  
2021-01-10 16:37:18.9630 || INFO || Receving string||  
2021-01-10 16:37:18.9830 || INFO || ||  
2021-01-10 16:37:18.9979 || ERROR || @ index : -1||  
2021-01-10 16:37:19.0079 || ERROR || ^ index : -1||  
2021-01-10 16:37:48.6197 || INFO || Receving string||  
2021-01-10 16:37:48.6556 || INFO || ||  
2021-01-10 16:37:48.6686 || ERROR || @ index : -1||  
2021-01-10 16:37:48.6806 || ERROR || ^ index : -1||  
2021-01-10 16:37:50.2978 || INFO || Receving string||  
2021-01-10 16:37:50.3237 || INFO || @,1.1,1.2,242:243:PASS,12.1:12.2:PASS,32:31:FAIL,456:455:PASS,333:333:PASS,ONGOING,ONGOING,ONGOING,ONGOING,ONGOING,^||  
2021-01-10 16:37:50.3397 || ERROR || @ index : 0||  
2021-01-10 16:37:50.3617 || ERROR || ^ index : 115||  
2021-01-10 16:37:50.3817 || INFO || @,1.1,1.2,242:243:PASS,12.1:12.2:PASS,32:31:FAIL,456:455:PASS,333:333:PASS,ONGOING,ONGOING,ONGOING,ONGOING,ONGOING,^||  
2021-01-10 16:37:50.3986 || INFO || Length||  
2021-01-10 16:37:50.3986 || INFO || 14||  
2021-01-10 16:37:50.4306 || INFO || ONGOING||  
2021-01-10 16:38:17.4259 || INFO ||  Current Barcode : ERCA10M42747C1SG8CR||  
2021-01-10 16:38:21.0515 || INFO || Receving string||  
2021-01-10 16:38:21.0730 || INFO || ||  
2021-01-10 16:38:21.0730 || ERROR || @ index : -1||  
2021-01-10 16:38:21.0949 || ERROR || ^ index : -1||  
2021-01-10 16:38:22.0788 || INFO || Receving string||  
2021-01-10 16:38:22.1058 || INFO || ||  
2021-01-10 16:38:22.1247 || ERROR || @ index : -1||  
2021-01-10 16:38:22.1417 || ERROR || ^ index : -1||  
2021-01-10 16:38:33.1658 || INFO || Receving string||  
2021-01-10 16:38:33.1998 || INFO || ||  
2021-01-10 16:38:33.2173 || ERROR || @ index : -1||  
2021-01-10 16:38:33.2332 || ERROR || ^ index : -1||  
2021-01-10 16:38:34.3065 || INFO || Receving string||  
2021-01-10 16:38:34.3226 || INFO || @,1.1,1.2,242:243:PASS,12.1:12.2:PASS,32:31:FAIL,456:455:PASS,333:333:PASS,ONGOING,ONGOING,ONGOING,ONGOING,FAIL,^||  
2021-01-10 16:38:34.3373 || ERROR || @ index : 0||  
2021-01-10 16:38:34.3542 || ERROR || ^ index : 112||  
2021-01-10 16:38:34.3696 || INFO || @,1.1,1.2,242:243:PASS,12.1:12.2:PASS,32:31:FAIL,456:455:PASS,333:333:PASS,ONGOING,ONGOING,ONGOING,ONGOING,FAIL,^||  
2021-01-10 16:38:34.3851 || INFO || Length||  
2021-01-10 16:38:34.4021 || INFO || 14||  
2021-01-10 16:38:34.4158 || INFO || FAIL||  
2021-01-10 16:38:47.3011 || INFO ||  Current Barcode : ERCA10M42747C1SG8CR||  
2021-01-10 16:49:01.7652 || INFO ||  Current Barcode : ERCA10M42747C1SG8CR||  
2021-01-10 16:49:03.0690 || INFO || Barcode : #ERCA10M42747C1SG8CR@||  
2021-01-10 16:49:34.6260 || INFO || Receving string||  
